"","accel_changes","closest_def_loc","closest_defender","closest_defender_angle","closest_defender_dist","closest_teammate","closest_teammate_angle","closest_teammate_dist","closest_teammate_loc","court_zone","game_clock","game_date","made","new_x","new_y","num_close_def","num_close_team","num_poss","other_shot","quarter","shooter","shooter_avg_vel","shooter_dist_to_ball","shooter_dist_traveled","shooter_team","shooter_vel_at_shot","shot_clock","shot_val","x_loc","y_loc"
"3089",98,"right","Joffrey Lauvergne",2.77245276749288,2.47537808102114,"John Henson",2.55137911398991,5.46673358879871,"right",1,46053,"2015-11-30",TRUE,4.32598,24.67713,3,0,5,1,2,"Giannis Antetokounmpo",4.6600872294744,1.20846729177914,46.600872294744,0,1.32913291754467,22.45,2,89.67402,25.32287
"3090",98,"right","Khris Middleton",0.64700451220178,7.03511217198419,"Randy Foye",0.0160787590728237,13.4078224503235,"right",3,33351,"2015-11-30",FALSE,8.76108000000001,2.11629,0,0,6,0,3,"Danilo Gallinari",2.42163586092647,2.64219793792971,24.2163586092647,1,1.35915509140807,1.81,3,85.23892,47.88371
"3091",96,"left","Joffrey Lauvergne",1.34464132262147,3.78872732818027,"John Henson",0.450500305466644,4.41225726423562,"left",2,70853,"2015-11-30",FALSE,7.24752,27.43621,2,1,5,0,4,"Jabari Parker",9.34635448130292,2.29533273945195,93.4635448130292,0,6.37144875597378,12.54,2,7.24752,27.43621
"3092",71,"right","Michael Carter-Williams",0.639759695605289,3.91912657955826,"Nikola Jokic",0.0144641841292844,5.02598089777508,"right",3,50852,"2015-11-30",FALSE,29.84961,15.55408,1,0,3,0,4,"Randy Foye",8.99688875408986,1.63575671766923,89.9688875408985,1,10.4564891634334,14.86,3,64.15039,34.44592
"3093",68,"right","Jabari Parker",0.218214583583609,8.8172948663635,"Nikola Jokic",0.386702343823207,14.1643670497661,"right",3,44353,"2015-11-30",FALSE,29.82188,36.12532,0,0,3,0,4,"Randy Foye",5.19195624039965,1.61380677532969,51.9195624039965,1,3.68478662882924,5.84,3,64.17812,13.87468
"3094",55,"right","Tyler Ennis",0.289520951520478,14.3383651178403,"Darrell Arthur",1.31130815125126,11.0381013740996,"right",3,8453,"2015-11-30",TRUE,36.45002,17.7119,0,0,6,1,4,"Will Barton",6.03259890949018,1.46255591578578,60.3259890949018,0,9.36663116133568,22.95,3,57.54998,32.2881
"3095",65,"right","Johnny O'Bryant",0.359710470643606,3.28264278562258,"Darrell Arthur",0.267944411371906,15.3485197998406,"right",3,3751,"2015-11-30",TRUE,22.13937,38.79192,1,0,6,0,4,"Emmanuel Mudiay",5.43709061314567,2.08130025236629,54.3709061314566,0,11.7881206649958,14.92,3,71.86063,11.20808
"3096",53,"right","Derrick Favors",0.372169216513365,1.83229036094172,"Andrew Bogut",0.165247564831993,3.80054796339949,"right",2,48556,"2015-11-30",FALSE,12.95072,31.32299,1,1,4,1,1,"Draymond Green",6.20397368629536,1.90592244797629,62.0397368629537,1,7.01119847993244,14.19,2,81.04928,18.67701
"3097",86,"right","Derrick Favors",0.372169216513365,1.83229036094172,"Andrew Bogut",0.165247564831993,3.80054796339949,"right",2,48556,"2015-11-30",FALSE,12.95072,31.32299,1,1,4,1,1,"Draymond Green",3.25256398951078,1.90592244797629,32.5256398951077,1,7.01119847993244,14.19,2,81.04928,18.67701
"3098",28,"left","Klay Thompson",1.11746334332883,9.8911825559384,"Raul Neto",1.00647289634424,11.6130440206003,"left",3,34654,"2015-11-30",FALSE,22.59616,46.17968,0,0,5,0,1,"Rodney Hood",3.17883341761316,5.87158442611532,31.7883341761316,0,6.03948348888376,3.64,3,22.59616,46.17968
"3099",85,"left","Draymond Green",0.360808933017011,6.42234784831839,"Rodney Hood",0.859463843210799,26.0878068400642,"left",3,28952,"2015-11-30",TRUE,29.39592,35.68218,0,0,4,0,1,"Gordon Hayward",6.02212291531293,1.40448260085342,60.2212291531293,0,6.72502939119971,7.15,3,29.39592,35.68218
"3100",57,"right","Derrick Favors",0.618085728084051,3.73580880369968,"Festus Ezeli",1.33705453172923,6.32931961311008,"right",2,66554,"2015-11-30",FALSE,13.42871,9.80208,2,0,3,1,2,"Leandro Barbosa",7.37738337812359,1.67262376956086,73.773833781236,0,12.3927538555804,5.43,2,80.57129,40.19792
"3101",111,"left","Leandro Barbosa",0.11157638596209,4.54245115577482,"Trey Burke",1.15404265476831,22.480084598206,"left",3,63997,"2015-11-30",FALSE,36.64443,13.43284,1,0,2,1,2,"Gordon Hayward",6.87993691875617,1.72593807652534,68.7993691875617,1,2.09671423005138,8.67,3,36.64443,13.43284
"3102",72,"left","Leandro Barbosa",2.58287327714617,2.89534481207334,"Trevor Booker",2.30910249899838,15.7391577452416,"left",2,62298,"2015-11-30",TRUE,11.42765,29.33099,2,0,4,1,2,"Gordon Hayward",11.9800099506811,1.06305137660416,119.800099506811,1,18.7866102999583,21.25,2,11.42765,29.33099
"3103",61,"right","Rudy Gobert",0.383894803529384,15.1839533700054,"Festus Ezeli",1.1474277358864,9.41884609374737,"right",3,53551,"2015-11-30",FALSE,29.0618,31.02247,0,0,5,1,2,"Leandro Barbosa",6.8448156295642,1.25092010076583,68.448156295642,0,0.189599083594879,18.33,3,64.9382,18.97753
"3104",53,"left","Klay Thompson",0.449183749861593,3.77547121802034,"Rudy Gobert",0.325293878120298,6.46554644165518,"left",3,40384,"2015-11-30",FALSE,31.95332,17.0171,1,0,3,0,2,"Trey Burke",8.0886570484655,1.84597998710712,80.886570484655,1,8.53921574633755,14.42,3,31.95332,17.0171
"3105",98,"right","Brandon Rush",1.61874688707633,1.63503818432476,"Raul Neto",2.14550840294897,11.1302067490681,"right",2,64204,"2015-11-30",TRUE,4.90891999999999,13.02174,1,0,4,0,3,"Gordon Hayward",9.03824696279362,0.441611292088406,90.3824696279362,0,14.911494601481,16.43,2,89.09108,36.97826
"3106",107,"left","Derrick Favors",2.42564889305232,1.26481149559925,"Andrew Bogut",1.36469473643588,8.17855997017812,"left",1,61553,"2015-11-30",TRUE,4.52202,22.53515,2,0,3,0,3,"Draymond Green",6.03368652435297,0.944746604968761,60.3368652435297,1,14.1042553197608,2.65,2,4.52202,22.53515
"3107",55,"left","Derrick Favors",1.81382540995226,1.51813637463832,"Andrew Bogut",2.86099476112432,13.5920386330528,"left",1,54552,"2015-11-30",TRUE,4.40926,25.33389,2,0,5,0,3,"Draymond Green",7.99697507652064,2.41187452053377,79.9697507652064,1,0.691708256781698,12.28,2,4.40926,25.33389
"3108",99,"right","Brandon Rush",0.190691040088921,6.36217788001876,"Derrick Favors",0.239825071887312,4.4156485730864,"right",3,53052,"2015-11-30",TRUE,18.80971,41.45971,0,1,5,0,3,"Gordon Hayward",8.47205492126975,0.945628840349112,84.7205492126976,0,7.40785921336244,11.83,3,75.19029,8.54029
"3109",97,"right","Klay Thompson",0.632618485004356,2.97609692879785,"Rudy Gobert",1.08514377370812,7.51999404853488,"right",3,47432,"2015-11-30",FALSE,19.43665,5.85092,1,0,3,1,3,"Gordon Hayward",9.93421054331999,2.18264953998575,99.3421054331998,0,8.52875859958533,15.61,3,74.56335,44.14908
"3110",94,"right","Festus Ezeli",0.72911431632582,3.03441225139236,"Trey Burke",2.34809064928535,14.7438009329006,"right",2,32285,"2015-11-30",TRUE,7.10834,38.60986,1,0,2,0,3,"Derrick Favors",5.68251900561017,3.08385591357636,56.8251900561016,1,2.89010477751242,14.25,2,86.89166,11.39014
"3111",62,"right","Festus Ezeli",0.0215693197189071,3.76598964972024,"Trevor Booker",0.618825360006727,11.1885776449422,"right",2,22852,"2015-11-30",TRUE,21.62966,22.48459,1,0,5,1,3,"Derrick Favors",7.91384824493033,1.23444844465049,79.1384824493033,1,1.27588248871109,16.44,2,72.37034,27.51541
"3112",94,"right","Andrew Bogut",0.276924923593621,7.08845081784447,"Trevor Booker",1.9649545575475,9.11746009159349,"right",2,63198,"2015-11-30",TRUE,14.70755,42.91059,0,0,3,0,4,"Rodney Hood",6.57475584882454,1.59830284880557,65.7475584882454,0,11.0737611609601,13.28,2,79.29245,7.08941
"3113",93,"left","Marreese Speights",0.86705674293625,5.70701733083929,"Rudy Gobert",0.287024190580336,16.9037344136407,"left",3,60998,"2015-11-30",TRUE,43.85859,26.21445,0,0,3,0,4,"Trevor Booker",6.03357229184543,0.475232662282385,60.3357229184543,0,20.0681605036436,23.88,3,43.85859,26.21445
"3114",99,"right","Klay Thompson",0.181497961553385,3.67493054530288,"Derrick Favors",0.516618901455571,8.70997690424609,"right",3,43253,"2015-11-30",TRUE,29.49963,27.40403,1,0,3,0,4,"Alec Burks",9.36510052742789,0.661858906112169,93.6510052742788,1,11.0078437318579,13.73,3,64.50037,22.59597
"3115",70,"left","Derrick Favors",1.39573900509611,0.1014937682816,"Shaun Livingston",1.68504076579582,14.8601975971688,"left",2,41553,"2015-11-30",FALSE,10.08001,28.92436,1,0,3,0,4,"Draymond Green",3.29870488022653,1.724401783344,32.9870488022653,0,11.5998508826623,15.13,2,10.08001,28.92436
"3116",47,"right","Andre Iguodala",0.112713122135612,6.60017629959229,"Derrick Favors",1.14965911819133,20.3059890908101,"right",3,40053,"2015-11-30",FALSE,37.52852,12.66349,0,0,1,1,4,"Gordon Hayward",5.01858610490985,1.73345623682861,50.1858610490985,1,2.65837075339392,12.43,3,56.47148,37.33651
"3117",56,"right","Rudy Gobert",0.351002244085488,8.84288858860612,"Shaun Livingston",2.89468342801509,7.7658955728557,"right",2,38624,"2015-11-30",TRUE,16.34064,34.17198,0,0,4,1,4,"Stephen Curry",7.48914180494876,1.71274828497941,74.8914180494876,0,13.8816506808453,23.54,2,77.65936,15.82802
"3118",59,"right","Stephen Curry",1.34387973045632,1.52224337902978,"Rudy Gobert",1.23315175031097,9.31919513083077,"right",2,28502,"2015-11-30",TRUE,17.08287,18.0057,1,0,2,1,4,"Alec Burks",4.0465728409961,1.63990561612551,40.465728409961,1,2.72715405688818,5.12,2,76.91713,31.9943
"3119",97,"right","Stephen Curry",0.262636512538447,3.12854842046595,"Rudy Gobert",0.451677151119354,18.1764110420649,"right",3,21954,"2015-11-30",FALSE,26.62892,40.34871,1,0,3,0,4,"Alec Burks",6.81369806481293,4.83787465561067,68.1369806481293,1,1.81850092796245,2.44,3,67.37108,9.65129
"3120",41,"right","Shaun Livingston",0.419215876767603,5.16384973911906,"Rudy Gobert",0.882007521490599,12.4794795524854,"right",3,19654,"2015-11-30",FALSE,22.18182,5.48717,0,0,3,0,4,"Rodney Hood",2.61508744685509,0.703968109647024,26.1508744685509,1,5.36900559345023,3.59,3,71.81818,44.51283
"3121",148,"right","Zaza Pachulia",0.500864385369699,0.722083559499868,"Ben McLemore",1.32632939292957,17.1076387913031,"right",2,68032,"2015-11-30",FALSE,18.96984,14.73632,1,0,2,0,1,"DeMarcus Cousins",5.824478930457,4.08169176020189,58.24478930457,1,6.07587159385385,5.32,2,75.03016,35.26368
"3122",86,"right","Zaza Pachulia",0.302439000429409,5.30691775072876,"Willie Cauley-Stein",0.665870679187472,26.7897738279441,"right",2,61895,"2015-11-30",FALSE,13.10939,42.91622,0,0,4,1,1,"DeMarcus Cousins",7.89284807671152,1.86532649809625,78.9284807671153,1,0.809786160044676,18.7,2,80.89061,7.08378
"3123",73,"left","Ben McLemore",0.770854306557549,1.69053287391875,"Zaza Pachulia",0.487381156017349,21.5251535056919,"left",2,56553,"2015-11-30",TRUE,11.2566,36.14986,1,0,3,0,1,"Dirk Nowitzki",8.89801604523471,2.36915255053363,88.9801604523471,0,2.35198727143677,14.31,2,11.2566,36.14986
"3124",102,"right","Chandler Parsons",0.0138597344776772,5.29608241753279,"Darren Collison",0.87197999928584,9.10011846819589,"right",2,69331,"2015-11-30",FALSE,12.95671,45.29127,0,0,2,0,2,"Rudy Gay",7.70940909369136,1.96134991105615,77.0940909369136,0,8.49390917069399,13.94,2,81.04329,4.70873
